,betas,betas_std,pvalues,qvalues,reject
1842,-0.004651193131688953,-0.0187292109937605,0.010415361010769087,0.014309082498282498,1.0
1843,0.005470197205421233,0.021513386402979843,0.0033073904326559145,0.0048344146872271974,1.0
1844,-0.00024044282701504304,-0.0010739187951653898,0.8802299354662211,0.8979295074888376,0.0
1845,0.009624997177835475,0.045970108312444885,2.536799359296984e-10,7.887208770310503e-10,1.0
1846,0.005172687328709364,0.027947860104740742,0.00012095158357892003,0.00020982426509103726,1.0
1847,0.010769863303262213,0.04279934032500189,4.131698576772627e-09,1.144331962674709e-08,1.0
1848,0.004115907632029529,0.019432083458869806,0.007252219103690123,0.010226858125881665,1.0
1849,0.004693532186096988,0.018849892277221995,0.0075636486663935515,0.010622815142537871,1.0
1850,-0.0018016311284685582,-0.008629084617919665,0.23245223154165504,0.2675709140047828,0.0
1851,0.0020720118832802748,0.008895805219049778,0.20312316145141895,0.23603138313907898,0.0
1852,0.0044304885793326155,0.01633239341106915,0.02462355636541876,0.03225251715369712,1.0
1853,0.004154321008036968,0.01816341165097972,0.010402011055652579,0.014300187042800639,1.0
1854,-0.0007234197870165242,-0.003661186198111895,0.6102501782339915,0.6446522959505853,0.0
1855,-0.00025366542223025806,-0.0009884694739642225,0.8925525484285044,0.9078285089150558,0.0
1856,0.011281340607832256,0.048291545542508765,3.6710109743808775e-11,1.2276049560630587e-10,1.0
1857,0.008560704974567335,0.036393149196984345,3.363899976645122e-07,7.714346142692232e-07,1.0
1858,0.006144852216027666,0.028818518541822883,6.411693888639951e-05,0.00011496830421009567,1.0
1859,0.004625158148350628,0.020630647707758284,0.004748590031353845,0.006840074283390581,1.0
1860,0.001324086684004945,0.005578130249088948,0.4356588243108487,0.47493205165962543,0.0
1861,-0.0016365282509338156,-0.00664836367533888,0.3637612441031509,0.4025808777545201,0.0
1862,0.009221012633252187,0.04011692249171136,4.130454054391962e-08,1.0276727790831674e-07,1.0
1863,0.00041279205833900153,0.001919087747366318,0.7903208178986126,0.8146022305396998,0.0
1864,0.01376682989031799,0.06040005650092318,1.5390522077916447e-16,8.12112933065005e-16,1.0
1865,0.005357329806490604,0.025303138325931722,0.00043769602861334493,0.0007024751076510474,1.0
1866,-0.009077584498580548,-0.03907850929164629,8.428908331438027e-08,2.0221602456045091e-07,1.0
1867,0.013657591515325824,0.05980527937205923,2.3232302276433826e-16,1.2020693715169741e-15,1.0
1868,-0.007826653681820494,-0.03359338305645225,4.2303191059057435e-06,8.601235327745793e-06,1.0
1869,0.009810371156077564,0.03927545643234409,6.457893006499686e-08,1.5710429770198067e-07,1.0
1870,-0.005573136108163943,-0.022921268233962233,0.0011271061939887484,0.0017404460901979187,1.0
1871,0.006510485023994624,0.03017623183593578,2.776136757030246e-05,5.206820969001724e-05,1.0
1872,0.005131256588654654,0.02240107290095604,0.002136993943813397,0.0031909170158879153,1.0
1873,0.00297047969295226,0.013190041815431644,0.06450578587018453,0.08024643218300467,0.0
1874,0.001235910483920328,0.0047262546483263675,0.5184505010397974,0.5558644547230818,0.0
1875,0.005788013119587525,0.02198216746095758,0.0024530402871625295,0.0036315471866890116,1.0
1876,-0.00023088428421464183,-0.0008941583323876269,0.9027970985911944,0.9164558150657317,0.0
1877,0.006748446780704809,0.032070355535016255,5.4674032122073034e-06,1.0977025754238601e-05,1.0
1878,-0.0063971746792553606,-0.02443171497550855,0.0008439266879239199,0.0013208182926123051,1.0
1879,0.004076270318089633,0.01761563509122487,0.015200339183048795,0.020557025683186927,1.0
1880,0.007230578201004026,0.02753606060205977,0.00015659409457721314,0.0002671991113376565,1.0
1881,0.008541666266389615,0.03654416148423359,2.7148963273592053e-07,6.26051481253564e-07,1.0
1882,0.009236289286312037,0.03533442245417845,1.0148600889374155e-06,2.203454055312969e-06,1.0
1883,-0.009185006047083716,-0.035292580099120126,1.3843852735493992e-06,2.9624705442209366e-06,1.0
1884,-0.006251447828831537,-0.027483406799285095,0.00014979426887459332,0.00025664915919205447,1.0
1885,0.003705782674194286,0.013886114758141232,0.05869865801614551,0.0735501257069775,0.0
1886,0.010057470608873534,0.04123425468224699,1.5687837428535867e-08,4.068666066253691e-08,1.0
1887,0.0012338249370505193,0.005469518661714469,0.45387879655117114,0.4922147532984546,0.0
1888,0.013767547757100838,0.058713301529873044,8.685419848647629e-16,4.332295751843421e-15,1.0
1889,0.0019809177391864677,0.007392021494124623,0.3116271050793302,0.34923727293373213,0.0
1890,0.0018661379801055292,0.025097083625183758,0.00022576218875479883,0.0003766453224325174,1.0
1891,0.003367922152645598,0.014806703230008345,0.0423118720486977,0.053926895748340205,0.0
1892,0.005847375330484442,0.02710938238478522,0.00011334434274815652,0.0001974507813368221,1.0
1893,-0.009994124805077942,-0.050193576713378873,2.1563315520470738e-12,7.938353324350289e-12,1.0
1894,0.0020327641881563315,0.007972085233933657,0.2730545961140143,0.31069669579712783,0.0
1895,0.013032187211074554,0.05729637002771684,9.293398269241133e-16,4.624466124407071e-15,1.0
1896,-0.00257845039725156,-0.012337146487360567,0.0880413100081559,0.10784801225969629,0.0
1897,0.00588653136137581,0.025586131732906234,0.0003636415720110584,0.0005915081586853658,1.0
1898,0.011291185887686756,0.061852700778326435,3.521319593907596e-18,2.1107621773278962e-17,1.0
1899,0.012625517326133618,0.05803960976055646,1.3822128437284603e-15,6.828985071152488e-15,1.0
1900,0.0006376435648483467,0.002734924521711371,0.7059927886574862,0.733499001202583,0.0
1901,0.0024645559405065643,0.010453922778696495,0.15415922524462547,0.18146643379107016,0.0
1902,0.008308814620426134,0.03517103884355724,1.4510128383990706e-06,3.0923224424898225e-06,1.0
1903,-0.002956192843486515,-0.012717305371974005,0.08119921897027053,0.09981937083815763,0.0
1904,0.012672678778318174,0.04599467150699911,1.8540902735313074e-10,5.834353659523631e-10,1.0
1905,-0.009441840338501694,-0.04098404959900094,1.4304469255207246e-08,3.728483214389858e-08,1.0
1906,-0.008499992340618361,-0.03883202659387765,8.978808816395065e-08,2.144193150183896e-07,1.0
1907,-0.0005637114305832838,-0.002632613962013591,0.7151911582630236,0.7419439447317152,0.0
1908,0.02310087606470594,0.09430280830535967,1.4439590472023577e-39,4.1714372474734775e-38,1.0
1909,0.009449260348126733,0.03884665277600721,8.62961571393154e-08,2.0655466841171002e-07,1.0
