,betas,betas_std,pvalues,qvalues,reject
1637,0.003564234795891428,0.014634961465722586,0.009798326678447088,0.015533932539001481,1.0
1638,-0.006483926873176803,-0.024773977605100743,0.00014413282575463833,0.0003068539176762003,1.0
1639,-0.004453715640433858,-0.018479099127155348,0.004163237470338894,0.007034552346307798,1.0
1640,-0.0054644987665807354,-0.021041630850504096,0.00034015975921716297,0.0006816303460228314,1.0
1641,-0.005557564428145742,-0.021272637864025758,0.00010632207782842234,0.0002306047152065886,1.0
1642,-0.0035603909718857755,-0.013938030845124315,0.02297260645873617,0.033985079256167304,1.0
1643,-0.0042595808407043835,-0.021241235589642866,0.0001648807413063625,0.00034888295210298473,1.0
1644,0.0020128313625238413,0.00854204577280742,0.15897211685079832,0.19859579762742371,0.0
1645,0.000840551467963108,0.0035344286961563995,0.4835865014594035,0.5387573235327044,0.0
1646,-0.0032989841867072083,-0.014715082592432873,0.0063220504997213425,0.01038693920965276,1.0
1647,0.0033139578677889832,0.013205064494266372,0.015661117204623928,0.023794831107098444,1.0
1648,0.00776796554534768,0.03195434998292145,3.411996508751988e-08,1.1409891862064526e-07,1.0
1649,0.0035676456000795476,0.015529179925559591,0.009745010240510107,0.015469412711918932,1.0
1650,0.006974696068679233,0.02996948305586345,2.898168691097541e-07,8.562771132788188e-07,1.0
1651,-0.00535775922713287,-0.01983200133230037,0.0008285141389022128,0.0015638016414851203,1.0
1652,-0.0008323621069901032,-0.011483393857823126,0.06811847298342252,0.09224376549838466,0.0
1653,-0.00028185473090188356,-0.001328644856742282,0.7939919481273334,0.8292144824128064,0.0
1654,-0.0017768972155702354,-0.007914244021156262,0.10390015033436666,0.1355786152418335,0.0
1655,-0.01284742172304847,-0.06712056978458385,2.4016445386189866e-31,5.42980504383423e-30,1.0
1656,-0.0012326261548014344,-0.005777191590690297,0.30875152769089637,0.36078830202082274,0.0
1657,0.005441034435608622,0.026616651065103334,2.247046954590053e-06,5.9499799842822865e-06,1.0
1658,-0.005906405207904755,-0.03052451041233214,1.7020392208090662e-08,5.900402632138097e-08,1.0
1659,0.007756608898418201,0.03506010190401018,6.116972360940245e-11,2.707085640586321e-10,1.0
1660,0.010693409180894071,0.06027686147191187,2.007012636203023e-25,2.820666407636681e-24,1.0
1661,0.0003113085123396316,0.0015076622958081478,0.7934975490221126,0.8292144824128064,0.0
1662,0.0037575950329730287,0.01730618225894582,0.0011588542376241566,0.0021406898883288153,1.0
1663,-0.0017704135801931014,-0.008325984475808127,0.19242202802632974,0.235044851871709,0.0
1664,0.01052654835034689,0.04932505926656054,1.4407014355909957e-13,7.969837728801253e-13,1.0
1665,-0.007229337345124814,-0.03067077585628873,7.545856019835865e-09,2.729631395001495e-08,1.0
1666,-0.012528826250612017,-0.04909605821627027,3.589634186131076e-18,3.072608686071044e-17,1.0
1667,-0.009936396606174458,-0.047167959315737334,4.0566355398025215e-16,2.8602718382336425e-15,1.0
1668,-0.010851626745143207,-0.04838932141967643,7.55109512164958e-16,5.218032509312666e-15,1.0
1669,0.00426938715910602,0.021759357877369073,0.00043362639254106026,0.0008516930089569456,1.0
1670,-0.0041963235233456134,-0.016953280284076448,0.0012584918854449993,0.0023124232524077727,1.0
1671,0.009862232269396566,0.04119225648106303,2.127250729279822e-10,8.975013218868216e-10,1.0
1672,-0.012309306429487356,-0.05107151107634118,1.296652131802487e-17,1.061825367775265e-16,1.0
1673,0.00841696350106344,0.040312864519210165,3.9719058154450956e-12,1.9347925283666977e-11,1.0
1674,0.0012675816682743877,0.006088637923950771,0.29019314413806685,0.34101793209445147,0.0
1675,0.0005768550672617267,0.0022140920577012127,0.6793905331715044,0.7272940344810752,0.0
1676,-0.010701899041005098,-0.045224605232127804,8.012536326387957e-15,4.830746538807812e-14,1.0
